MI_PRINX,offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,MinOfibr_code,dispo_code,MaxOfnum_victims,Shift,Avg Day,loc_type,UC2 Literal,neighborhood,npu,x,y
6729341,170321759,02/01/2017,02/01/2017,12:39:00,02/01/2017,12:49:00,412,,911,4051 SOUTHWOOD CIR SW,0511,2202,20,2,Day,Wed,26,BURGLARY-RESIDENCE,Ben Hill Terrace,P,-84.520759999999996,33.696269999999998
6729342,170321772,02/01/2017,01/28/2017,12:00:00,02/01/2017,12:50:00,107,,,1385 WEST AVE NW,0690,2399,,1,Unk,Unk,20,LARCENY-NON VEHICLE,Grove Park,J,-84.433189999999996,33.765900000000002
6729343,170321817,02/01/2017,02/01/2017,13:15:00,02/01/2017,13:15:00,102,,,835 MARTIN L KING JR DR NW,0630,2303,10,1,Day,Wed,24,LARCENY-NON VEHICLE,Vine City,L,-84.414569999999998,33.755040000000001
6729344,170321849,02/01/2017,02/01/2017,11:00:00,02/01/2017,13:20:00,606,,,889 WYLIE ST SE,0650,2304,,0,Day,Wed,13,LARCENY-FROM VEHICLE,Reynoldstown,N,-84.358080000000001,33.75244
6729345,170321902,02/01/2017,02/01/2017,13:00:00,02/01/2017,13:50:00,306,,,1892 METROPOLITAN PKWY SW,0710,2404,,1,Day,Wed,18,AUTO THEFT,Sylvan Hills,X,-84.407769999999999,33.702599999999997
6729346,170321907,02/01/2017,02/01/2017,03:00:00,02/01/2017,03:30:00,207,,A2,49 BENNETT ST NW,0670,2308,,1,Morn,Wed,3,LARCENY-NON VEHICLE,,C,-84.394350000000003,33.811990000000002
6729347,170321969,02/01/2017,02/01/2017,14:00:00,02/01/2017,14:20:00,313,,,3675 ZIP INDUSTRIAL BLVD SE,0410,1314,,1,Day,Wed,18,AGG ASSAULT,Blair Villa/Poole Creek,Z,-84.387169999999998,33.656970000000001
6729348,170322164,02/01/2017,01/31/2017,12:00:00,01/31/2017,14:00:00,206,,,59 HONOUR AVE NW,0640,2305,,1,Day,Tue,13,LARCENY-FROM VEHICLE,South Tuxedo Park,B,-84.384249999999994,33.852089999999997
6729349,170322247,02/01/2017,01/01/2017,12:00:00,02/01/2017,16:12:00,311,,,2767 METROPOLITAN PKWY SW,0640,2305,,2,Unk,Unk,18,LARCENY-FROM VEHICLE,Hammond Park,X,-84.40813,33.679250000000003
6729350,170322275,02/01/2017,02/01/2017,14:05:00,02/01/2017,14:05:00,208,,,3334 PEACHTREE RD NE @ONE BUCKHEAD LOOP,0670,2308,,1,Day,Wed,8,LARCENY-NON VEHICLE,North Buckhead,B,-84.370750000000001,33.849110000000003
6729351,170322472,02/01/2017,02/01/2017,16:30:00,02/01/2017,17:09:00,210,,,3393 PEACHTREE RD NE @LENOX MALL,0630,2303,10,1,Eve,Wed,8,LARCENY-NON VEHICLE,Lenox,B,-84.362120000000004,33.846760000000003
6729352,170322491,02/01/2017,02/01/2017,16:55:00,02/01/2017,17:05:00,108,,,2429 MARTIN L KING JR DR NW,0630,2303,10,1,Eve,Wed,8,LARCENY-NON VEHICLE,Florida Heights,I,-84.46669,33.752459999999999
6729353,170322552,02/01/2017,01/29/2017,13:30:00,01/30/2017,16:30:00,607,,,1401 MORELAND AVE SE,0680,2307,,1,Unk,Mon,23,LARCENY-NON VEHICLE,Custer/McDonough/Guice,W,-84.349850000000004,33.716090000000001
6729354,170322567,02/01/2017,02/01/2017,11:00:00,02/01/2017,15:00:00,407,,Q-7,320 FAIRBURN RD SW,0521,2204,,0,Day,Wed,26,BURGLARY-RESIDENCE,Fairburn Mays,H,-84.508579999999995,33.745100000000001
6729355,170322653,02/01/2017,02/01/2017,17:54:00,02/01/2017,17:54:00,303,,2310,540 HUMPHRIES ST SW,0521,2204,,1,Eve,Wed,26,BURGLARY-RESIDENCE,Mechanicsville,V,-84.404880000000006,33.739899999999999
6729356,170322744,02/01/2017,02/01/2017,18:10:00,02/01/2017,18:20:00,603,,,650 NORTH AVE NE,0630,2303,,1,Eve,Wed,24,LARCENY-NON VEHICLE,Old Fourth Ward,M,-84.364779999999996,33.771210000000004
6729357,170322749,02/01/2017,02/01/2017,18:00:00,02/01/2017,18:21:00,504,,200,969 MARIETTA ST NW,0630,2303,,1,Eve,Wed,8,LARCENY-NON VEHICLE,Marietta Street Artery,E,-84.409099999999995,33.778280000000002
6729358,170322775,02/01/2017,02/01/2017,18:25:00,02/01/2017,18:30:00,110,,,1041 GUN CLUB RD NW,0710,2404,,1,Eve,Wed,20,AUTO THEFT,Grove Park,J,-84.456699999999998,33.783369999999998
